Category,Where It Appears,How To Set It,Firestore Path / File,Width (px),Height (px),Aspect Ratio,Format,Priority,Notes
STATIC FILE,Social previews (WhatsApp / Twitter / Slack),Replace file in public/ folder,public/og-image.png,1200,630,1.91:1,PNG,HIGH,Currently a placeholder gradient — replace with real branded design (club name + logo on navy/gold bg)
STATIC FILE,Navbar + Footer + Maintenance page,Replace file in public/ folder,public/rotaract-logo.png,512,512,1:01,PNG,DONE,Already exists — ensure transparent background
STATIC FILE,Partners section,Replace file in public/ folder,public/logo-rotary-international.png,300,300,1:01,PNG,DONE,Already exists — transparent background preferred
STATIC FILE,Partners section,Replace file in public/ folder,public/logo-rotary-btm.png,300,300,1:01,PNG,DONE,Already exists — transparent background preferred
STATIC FILE,Partners section,Replace file in public/ folder,public/logo-rotaract-district.png,300,300,1:01,PNG,DONE,Already exists — transparent background preferred
STATIC FILE,Partners section,Replace file in public/ folder,public/logo-rotary-district.png,300,300,1:01,PNG,DONE,Already exists — transparent background preferred
STATIC FILE,Browser tab favicon,Replace file in public/ folder,public/favicon.svg,50,50,1:01,SVG,LOW,Exists but 49 KB — simplify SVG paths post-launch (should be < 5 KB)
ADMIN PANEL,Homepage hero background image,Admin: click edit icon on Hero section → paste URL,settings/hero → image,1920,1080,16:09,JPG or WebP,HIGH,Full-bleed background — use landscape photo with faces centre-weighted. WordPress URL works fine.
ADMIN PANEL,Leadership page — President card (large),Admin: Leadership section → edit President → Photo URL,leaders/{id} → image,800,800,1:01,JPG,HIGH,Displayed as wide card on desktop. Face centred. Professional headshot preferred.
ADMIN PANEL,Leadership page — Board members (circular),Admin: Leadership section → edit member → Photo URL,leaders/{id} → image,400,400,1:01,JPG,HIGH,Circular crop in UI. Face centred. Avoid busy backgrounds. Same field as Our Team.
ADMIN PANEL,Our Team page — all members,Admin: Our Team section → edit member → Photo URL,leaders/{id} → image,400,400,1:01,JPG,HIGH,Same Firestore collection as Leadership — same image field
ADMIN PANEL,Our Team page — Treasurer members,Admin: Our Team section → Treasurer tab → edit member → Photo URL,treasurer_members/{id} → image,400,400,1:01,JPG,MEDIUM,Separate Firestore collection but same image field pattern
ADMIN PANEL,Projects section — project card banner,Admin: Projects → edit project → Image URL,projects/{id} → image,800,500,16:10,JPG or WebP,HIGH,Displayed as card banner. Action/event photo works well. Has Unsplash fallback if blank.
ADMIN PANEL,Events section — event card,Admin: Events → edit event → Image URL (optional),events/{id} → image,800,450,16:09,JPG or WebP,MEDIUM,Event poster or venue photo. Has Unsplash fallback if blank.
ADMIN PANEL,Gallery — album cover thumbnail,Admin: Gallery → create/edit album → Cover Image URL (WordPress),gallery/{albumId} → coverImage,800,600,4:03,JPG,HIGH,Shown on gallery homepage as album card. Pick the best photo from that album.
ADMIN PANEL,Gallery — individual photos in album,Admin: Gallery → open album → Add Photo → paste URL,gallery/{albumId} → photos[].url,1200,900,4:03,JPG,HIGH,Full lightbox view. Upload all event/project photos here.
ADMIN PANEL,Blog — post cover image,Admin: Blog → edit post → Cover image URL,blogs/{id} → coverImage,1200,630,1.91:1,JPG or WebP,MEDIUM,Also shown when that blog URL is shared on social media.
ADMIN PANEL,Testimonials — author avatar,Admin: Testimonials → add/edit → Photo URL,testimonials/{id} → image,200,200,1:01,JPG,LOW,Displayed as small circular avatar. Has Unsplash fallback if blank.
NEWSLETTER,Newsletter cover (web preview + PDF cover page),Newsletter Generator → Header & Branding → Cover Image URL,Session only (not saved),1920,1080,16:09,JPG,HIGH,WordPress URL recommended. Becomes full-bleed magazine cover background. CORS-friendly host required.
NEWSLETTER,Newsletter — President's message avatar,Newsletter Generator → President's Corner → Photo URL,Session only (not saved),400,400,1:01,JPG,HIGH,Circular avatar next to president message. Falls back to initial letter if blank.
NEWSLETTER,Newsletter — additional member message avatars,Newsletter Generator → add extra message → Photo URL,Session only (not saved),400,400,1:01,JPG,MEDIUM,One per extra message added (Secretary / Director etc.). Circular avatar.
NEWSLETTER,Newsletter — project image in newsletter body,Newsletter Generator → Projects section → image field per project,Session only (overrides projects/{id} → image),800,500,16:10,JPG or WebP,MEDIUM,Pre-filled from the project's saved image. Can be overridden per newsletter issue.
